institution_name,type,address,city,state,zip,county,phone,website
Ashland County-West Holmes Career Center,ABLE/OTC,1783 State Rte. 60,Ashland,OH,44805,ASHLAND,(800) 686-3313,www.acwhcc-jvs.k12.oh.us/adulted
Ashtabula County Technical and Career Center,ABLE/OTC,1565 State Rte. 167,Jefferson,OH,44047,ASHTABULA,(440) 576-6015,www.atech.edu
Auburn Career Center,ABLE/OTC,8140 Auburn Rd.,Concord Twp.,OH,44077,LAKE,(440) 357-7542,www.auburncc.org
Buckeye Career Center,ABLE/OTC,545 University Dr. NE,New Philadelphia,OH,44663,TUSCARAWAS,(800) 227-1665,www.buckeyecareercenter.org/adult-education.aspx
Buckeye Hills Career Center/Gallia-Jackson-Vinton JVSD,ABLE/OTC,351 Buckeye Hills Rd.,Rio Grande,OH,45674,GALLIA,(740) 245-5334,www.buckeyehills.net/content.asp?ContentId=552
Butler Tech,ABLE/OTC,3603 Hamilton-Middletown Rd.,Hamilton,OH,45011,BUTLER,(513) 645-8200,www.butlertech.org
Canton City Schools,ABLE/OTC,305 McKinley Ave. NW,Canton,OH,44702,STARK,(330) 438-2559,www.ccsdistrict.org/adulted
Choffin Career & Technical Center (Youngstown City Schools),ABLE/OTC,200 East Wood St.,Youngstown,OH,44503,MAHONING,(330) 744-8700,www.choffincareer.com
Collins Career Center,ABLE/OTC,120 N. 3rd St.,Ironton,OH,45638,LAWRENCE,(740) 532-7405,www.collins-cc.k12.oh.us
Columbiana County Career & Technical Center,ABLE/OTC,9364 State Route 45,Lisbon,OH,44432,COLUMBIANA,(330) 424-9561,www.ccctc.k12.oh.us/adulteducation_home.aspx
Columbus City Schools,ABLE/OTC,270 East State St.,Columbus,OH,43215,FRANKLIN,(614) 365- 5000,www.ccsoh.us/ace.aspx
C-TEC,ABLE/OTC,150 Price Rd.,Newark,OH,43055,LICKING,(740) 364-2832,www.c-tec.edu/AdultEducation/tabid/99/Default.aspx
Delaware Area Career Center,ABLE/OTC,4565 Columbus Pike,Delaware,OH,43015,DELAWARE,(740) 548-0708,www.delawareareacc.org/adult-education
Eastland-Fairfield Career Center,ABLE/OTC,4300 Amalgamated Place,Groveport,OH,43125,FRANKLIN,(614) 836-4530,www.eastland-fairfield.com/adultworkforce/default.aspx
Four County Career Center,ABLE/OTC,22900 SR 34,Archibold,OH,43502,HENRY,(419) 267-3331,www.fourcounty.net/site.cfm/adult-education.cfm
Great Oaks Institute of Technology & Career Development,ABLE/OTC,3254 E Kemper Rd.,Cincinnati,OH,45241,HAMILTON,(513) 771-5895,www.greatoaks.com
Maplewood Career Center,ABLE/OTC,7075 State Rte. 88,Ravenna,OH,44266,PORTAGE,(330) 296-2892,www.mwood.cc
Miami Valley Career Technology Center,ABLE/OTC,6800 Hike Rd.,Clayton,OH,43215,MONTGOMERY,(937) 854-0392,http://ae.mvctc.com
Mid-East Career & Technology Centers,ABLE/OTC,400 Richards Rd.,Zanesville,OH,43701,MUSKINGUM,(740) 454-0101,www.mid-east.k12.oh.us/AdultLiteracy.aspx
Penta Career Center,ABLE/OTC,9301 Buck Rd.,Perrysburg,OH,43551,WOOD,(419) 666-1120,www.pentacareercenter.org/penta_aded/SpecOff/SpecOff_GED.htm
Pickaway-Ross Adult Center,ABLE/OTC,895 Crouse Chapel Rd.,Chillicothe,OH,45601,ROSS,(740) 642-1200,www.pickawayross.com/ae
Pike County Career Technology Center,ABLE/OTC,175 Beaver Creek Rd.,Piketon,OH,45661,PIKE,(740) 289-2721,www.pikectc.org/AdultEducation.aspx
Polaris Career Center,ABLE/OTC,7285 Old Oak Blvd.,Middleburg Hts.,OH,44130,CUYAHOGA,(440) 891-7600,www.polaris.edu/adult-education
Sandusky City Schools,ABLE/OTC,407 Decatur St.,Sandusky,OH,44870,ERIE,(419) 626-6940,www.sandusky-city.k12.oh.us/AbleGED.aspx
Tolles Career & Technical Center,ABLE/OTC,7877 U.S. Highway 42 South,Plain City,OH,43064,MADISON,(614) 873-4666,www.tollestech.com/adulteducationcenter_home.aspx
Trumbull Career & Technical Center,ABLE/OTC,528 Educational Hwy.,Warren,OH,44483,TRUMBULL,(330) 847-0503,www.tctchome.com
Upper Valley Career Center,ABLE/OTC,8901 Looney Rd.,Piqua,OH,45356,MIAMI,(937) 778-1980,www.uppervalleycc.org
Vanguard-Sentinel Career & Technology Centers,ABLE/OTC,1306 Cedar St.,Fremont,OH,43420,SANDUSKY,(419) 332-2626,www.vscc.k12.oh.us/schools/adulted/adulted.htm
Warren County Career Center,ABLE/OTC,3525 N. St. Rt.48,Lebanon,OH,45036,WARREN,(513) 932-8145,www.mywccc.org/adulteducation_home.aspx
Wayne County Schools Career Center,ABLE/OTC,518 W. Prospect St,Smithville,OH,44677,WAYNE,(330) 669-0027,www.wayne-jvs.k12.oh.us/adulted
